Number,Name,Form,Ability1,Ability2,Hidden
931,Squawkabilly,Green Plumage,Intimidate,Hustle,Guts
931,Squawkabilly,White Plumage,Intimidate,Hustle,Sheer Force
931,Squawkabilly,Yellow Plumage,Intimidate,Hustle,Sheer Force
932,Nacli,,Purifying Salt,Sturdy,Clear Body
933,Naclstack,,Purifying Salt,Sturdy,Clear Body
934,Garganacl,,Purifying Salt,Sturdy,Clear Body
935,Charcadet,,Flash Fire,,Flame Body
936,Armarouge,,Flash Fire,,Weak Armor
937,Ceruledge,,Flash Fire,,Weak Armor
938,Tadbulb,,Own Tempo,Static,Damp
939,Bellibolt,,Electromorphosis,Static,Damp
940,Wattrel,,Wind Power,Volt Absorb,Competitive
941,Kilowattrel,,Wind Power,Volt Absorb,Competitive
942,Maschiff,,Intimidate,Run Away,Stakeout
943,Mabosstiff,,Intimidate,Guard Dog,Stakeout
944,Shroodle,,Unburden,Pickpocket,Prankster
945,Grafaiai,,Unburden,Poison Touch,Prankster
946,Bramblin,,Wind Rider,,Infiltrator
947,Brambleghast,,Wind Rider,,Infiltrator
948,Toedscool,,Mycelium Might,,
949,Toedscruel,,Mycelium Might,,
950,Klawf,,Anger Shell,Shell Armor,Regenerator
951,Capsakid,,Chlorophyll,Insomnia,Klutz
952,Scovillain,,Chlorophyll,Insomnia,Moody
953,Rellor,,Compound Eyes,,Shed Skin
954,Rabsca,,Synchronize,,Telepathy
955,Flittle,,Anticipation,Frisk,Speed Boost
956,Espathra,,Opportunist,Frisk,Speed Boost
957,Tinkatink,,Mold Breaker,Own Tempo,Pickpocket
958,Tinkatuff,,Mold Breaker,Own Tempo,Pickpocket
959,Tinkaton,,Mold Breaker,Own Tempo,Pickpocket
960,Wiglett,,Gooey,Rattled,Sand Veil
961,Wugtrio,,Gooey,Rattled,Sand Veil
962,Bombirdier,,Big Pecks,Keen Eye,Rocky Payload
963,Finizen,,Water Veil,,
964,Palafin,Hero Form,Zero To Hero,,
964,Palafin,Zero Form,Zero To Hero,,
965,Varoom,,Overcoat,,Slow Start
966,Revavroom,,Overcoat,,Filter
967,Cyclizar,,Shed Skin,,Regenerator
968,Orthworm,,Earth Eater,,Sand Veil
969,Glimmet,,Toxic Debris,,Corrosion
970,Glimmora,,Toxic Debris,,Corrosion
971,Greavard,,Pickup,,Fluffy
972,Houndstone,,Sand Rush,,Fluffy
973,Flamigo,,Scrappy,Tangled Feet,Costar
974,Cetoddle,,Thick Fat,Snow Cloak,Sheer Force
975,Cetitan,,Thick Fat,Slush Rush,Sheer Force
976,Veluza,,Mold Breaker,,Sharpness
977,Dondozo,,Unaware,Oblivious,Water Veil
978,Tatsugiri,Curly Form,Commander,,Storm Drain
978,Tatsugiri,Droopy Form,Commander,,Storm Drain
978,Tatsugiri,Stretchy Form,Commander,,Storm Drain
979,Annihilape,,Vital Spirit,Inner Focus,Defiant
980,Clodsire,,Poison Point,Water Absorb,Unaware
981,Farigiraf,,Cud Chew,Armor Tail,Sap Sipper
982,Dudunsparce,Three-Segment Form,Serene Grace,Run Away,Rattled
982,Dudunsparce,Two-Segment Form,Serene Grace,Run Away,Rattled
983,Kingambit,,Defiant,Supreme Overlord,Pressure
984,Great Tusk,,Protosynthesis,,
985,Scream Tail,,Protosynthesis,,
986,Brute Bonnet,,Protosynthesis,,
987,Flutter Mane,,Protosynthesis,,
988,Slither Wing,,Protosynthesis,,
989,Sandy Shocks,,Protosynthesis,,
990,Iron Treads,,Quark Drive,,
991,Iron Bundle,,Quark Drive,,
992,Iron Hands,,Quark Drive,,
993,Iron Jugulis,,Quark Drive,,
994,Iron Moth,,Quark Drive,,
995,Iron Thorns,,Quark Drive,,
996,Frigibax,,Thermal Exchange,,Ice Body
997,Arctibax,,Thermal Exchange,,Ice Body
998,Baxcalibur,,Thermal Exchange,,Ice Body
999,Gimmighoul,Chest Form,Rattled,,
999,Gimmighoul,Roaming Form,Run Away,,
1000,Gholdengo,,Good As Gold,,
1001,Wo-Chien,,Tablets Of Ruin,,
1002,Chien-Pao,,Sword Of Ruin,,
1003,Ting-Lu,,Vessel Of Ruin,,
1004,Chi-Yu,,Beads Of Ruin,,
1005,Roaring Moon,,Protosynthesis,,
1006,Iron Valiant,,Quark Drive,,
1007,Koraidon,,Orichalcum Pulse,,
1008,Miraidon,,Hadron Engine,,
1009,Walking Wake,,Protosynthesis,,
1010,Iron Leaves,,Quark Drive,,
1011,Dipplin,,Supersweet Syrup,Gluttony,Sticky Hold
1012,Poltchageist,,Hospitality,,Heatproof
1013,Sinistcha,,Hospitality,,Heatproof
1014,Okidogi,,Toxic Chain,,Guard Dog
1015,Munkidori,,Toxic Chain,,Frisk
1016,Fezandipiti,,Toxic Chain,,Technician
1017,Ogerpon,Cornerstone Mask,Sturdy,,
1017,Ogerpon,Hearthflame Mask,Mold Breaker,,
1017,Ogerpon,Teal Mask,Defiant,,
1017,Ogerpon,Wellspring Mask,Water Absorb,,
1018,Archaludon,,Stamina,Sturdy,Stalwart
1019,Hydrapple,,Supersweet Syrup,Regenerator,Sticky Hold
1020,Gouging Fire,,Protosynthesis,,
1021,Raging Bolt,,Protosynthesis,,
1022,Iron Boulder,,Quark Drive,,
1023,Iron Crown,,Quark Drive,,
1024,Terapagos,Normal Form,Tera Shift,,
1024,Terapagos,Stellar Form,Teraform Zero,,
1024,Terapagos,Terastal Form,Tera Shell,,
1025,Pecharunt,,Poison Puppeteer,,
